cluster1...1,b1_1,b1_2,b2_2,b2_4,b2_5,b2_7,b2_8,engagedfintech,engagedmarket,broker,s6r1,s2ar1,s2ar2,s2ar3,reinsprimary,retroprimary,c3r1,c3r2,c3r3,c3r4,c3r5,c3r6,c3r7,c3r8,c3r9,c3r10,c3r11,c3r12,c3r98,c3r99,c3r98oe,s5r1,s5r2,s5r3,s5r4,s5r5,s5r6,s5r7,s5r8,s5r9,s5r10,s5r11,s5r12,s5r13,s5r14,s5r15,s5r16,s5r17,s5r18,s5r19,s5r20,s5r21,s5r98,s5r99,s5r98oe,c4r1,c4r2,c4r3,c4r4,c4r5,c4r6,c4r7,c4r8,c4r9,c4r10,c4r11,c4r12,c4r13,c4r14,c4r15,c4r16,c4r17,c4r18,c4r19,c4r20,c4r21,c4r98,c4r99,c4r98oe,c5r1,c5r2,c5r3,c5r4,c5r5,c5r6,c5r7,c5r8,c5r9,c5r10,c5r11,c5r12,c5r13,c5r14,c5r15,c5r16,c5r17,c5r18,c5r19,c5r20,c5r21,c5r98,c5r99,c5r98oe,pctfac,pcttreaty,pctboth,pctasl,pctqs,pctxol,cluster1...111,n,pct,cluster1...114,lr,usebroker,sizeover1b
1,6.161290322580645,4.935483870967742,4.903225806451613,7.129032258064516,7.354838709677419,5.580645161290323,6.645161290322581,0.2903225806451613,0.3870967741935484,0.22580645161290322,4.612903225806452,1.1935483870967742,1.2903225806451613,2.129032258064516,0.8571428571428571,0.14285714285714285,0.3548387096774194,0.25806451612903225,0.12903225806451613,0.41935483870967744,0.2903225806451613,0.2903225806451613,0.06451612903225806,0.2903225806451613,0.0967741935483871,0.12903225806451613,0.25806451612903225,0.25806451612903225,0.03225806451612903,0,NA,0.1935483870967742,0.45161290322580644,0.0967741935483871,0.9032258064516129,1.7741935483870968,1.1612903225806452,0.9032258064516129,1.5483870967741935,3.193548387096774,2.5806451612903225,2.838709677419355,2.3225806451612905,2.096774193548387,1.3548387096774193,0.4838709677419355,8.258064516129032,5.483870967741935,5.806451612903226,7.967741935483871,3.225806451612903,2.7096774193548385,NA,0,NA,2.3333333333333335,2.7142857142857144,3,2.7142857142857144,2.3636363636363638,3.1666666666666665,2.25,2.6666666666666665,2.6363636363636362,3,3.375,2.6666666666666665,3.2,2.6666666666666665,2,2.6875,2.7,3,2.3846153846153846,2.4,3,NA,NA,NA,0.25806451612903225,0.3225806451612903,0.1935483870967742,1.5483870967741935,0.967741935483871,0.7741935483870968,1.1290322580645162,1.032258064516129,1.7419354838709677,1.2903225806451613,3.193548387096774,3.096774193548387,1.6774193548387097,2.2580645161290325,1.4516129032258065,5.67741935483871,4.387096774193548,4.645161290322581,4.903225806451613,3.870967741935484,3.3870967741935485,6.32258064516129,3.193548387096774,NA,0.3870967741935484,0.2903225806451613,0.2903225806451613,0.0967741935483871,0.41935483870967744,0.3870967741935484,1,31,12.97071129707113,1,53.68421052631579,36.10526315789474,0.3870967741935484
2,2.803921568627451,2.549019607843137,7.470588235294118,2.784313725490196,3.3333333333333335,3.1372549019607843,2.6666666666666665,0.49019607843137253,0.49019607843137253,0.3333333333333333,4.509803921568627,1.1568627450980393,1.3137254901960784,1.9607843137254901,0.918918918918919,0.08108108108108109,0.47058823529411764,0.37254901960784315,0.19607843137254902,0.43137254901960786,0.2549019607843137,0.6078431372549019,0.21568627450980393,0.37254901960784315,0.2549019607843137,0.21568627450980393,0.4117647058823529,0.27450980392156865,0,0,NA,0.39215686274509803,0.47058823529411764,0.058823529411764705,2.1176470588235294,1.8627450980392157,1.6470588235294117,0.8235294117647058,2.823529411764706,3.5294117647058822,4.117647058823529,4.313725490196078,2.823529411764706,2.2941176470588234,4.392156862745098,1.1764705882352942,8.470588235294118,6.666666666666667,8.470588235294118,4.470588235294118,7.450980392156863,5.352941176470588,NA,0,NA,2.6,2.8333333333333335,4,2.740740740740741,2.3157894736842106,2.9285714285714284,3,2.4444444444444446,2.45,2.761904761904762,3.45,2.6666666666666665,2.888888888888889,2.5625,3.75,2.3703703703703702,2.9,2.375,2.5833333333333335,2.526315789473684,3.6153846153846154,NA,NA,NA,0.27450980392156865,0.43137254901960786,0.17647058823529413,1.803921568627451,1.1764705882352942,2.235294117647059,1.5098039215686274,1.7254901960784315,3,2.9411764705882355,5.607843137254902,2.1176470588235294,4.8431372549019605,3.5686274509803924,2.3529411764705883,7.8431372549019605,5,7.411764705882353,4.098039215686274,5.490196078431373,7.411764705882353,1.9215686274509804,1.9411764705882353,NA,0.27450980392156865,0.29411764705882354,0.37254901960784315,0.21568627450980393,0.23529411764705882,0.45098039215686275,2,51,21.338912133891213,2,47.6578947368421,50.80769230769231,0.4117647058823529
3,2.517857142857143,2.2857142857142856,3.232142857142857,3.267857142857143,4.303571428571429,3.0714285714285716,2.5,0.4107142857142857,0.5535714285714286,0.25,4.285714285714286,1.1785714285714286,1.3392857142857142,2.107142857142857,0.9444444444444444,0.05555555555555555,0.375,0.4107142857142857,0.19642857142857142,0.42857142857142855,0.21428571428571427,0.5,0.25,0.375,0.21428571428571427,0.21428571428571427,0.44642857142857145,0.17857142857142858,0,0,NA,0.25,0.32142857142857145,0.375,1.7142857142857142,1.6964285714285714,1.7142857142857142,1,3,4.982142857142857,5.535714285714286,4.321428571428571,3.857142857142857,3.7142857142857144,5.25,1.3392857142857142,9.142857142857142,5.464285714285714,8.678571428571429,7.125,6.428571428571429,6,NA,0,NA,2.357142857142857,2.6666666666666665,2.5714285714285716,2.375,2.473684210526316,2.5625,2.25,2.0476190476190474,2.2580645161290325,2.4838709677419355,3,2.3333333333333335,2.75,2.5238095238095237,3.2,2.40625,2.5,2.7037037037037037,2.2857142857142856,2.1666666666666665,2.9375,NA,NA,NA,0.08928571428571429,0.2857142857142857,0.16071428571428573,1.7142857142857142,0.8928571428571429,1.8214285714285714,1.25,0.8571428571428571,3.5357142857142856,4.107142857142857,5.696428571428571,3.642857142857143,4.178571428571429,4.75,0.8035714285714286,6.285714285714286,6.678571428571429,7.714285714285714,7.125,2.5,7.125,0,1.7678571428571428,NA,0.26785714285714285,0.39285714285714285,0.30357142857142855,0.17857142857142858,0.4107142857142857,0.35714285714285715,3,56,23.430962343096233,3,54.13513513513514,44.21212121212121,0.35714285714285715
4,5.823529411764706,4.196078431372549,5.0588235294117645,4.254901960784314,4.352941176470588,5.019607843137255,3.5098039215686274,0.35294117647058826,0.5294117647058824,0.17647058823529413,4.294117647058823,1.2352941176470589,1.2352941176470589,2.0980392156862746,0.9444444444444444,0.05555555555555555,0.5294117647058824,0.35294117647058826,0.1568627450980392,0.43137254901960786,0.21568627450980393,0.45098039215686275,0.11764705882352941,0.3333333333333333,0.11764705882352941,0.19607843137254902,0.35294117647058826,0.21568627450980393,0,0,NA,0.13725490196078433,0.1568627450980392,0.11764705882352941,1.3333333333333333,0.6862745098039216,0.8235294117647058,0.4117647058823529,1.7254901960784315,3.8823529411764706,4.117647058823529,3.019607843137255,2.823529411764706,1.7843137254901962,4.117647058823529,0.5882352941176471,8.470588235294118,5.333333333333333,6.352941176470588,5.215686274509804,4.313725490196078,8.235294117647058,NA,0,NA,3.2857142857142856,3,2.5,2.6470588235294117,2.857142857142857,2.142857142857143,2.6666666666666665,2.3636363636363638,2.5454545454545454,2.5714285714285716,3.142857142857143,2.1666666666666665,2.2857142857142856,2.533333333333333,2,2.4444444444444446,2.6875,2.6666666666666665,2.5714285714285716,3,3,NA,NA,NA,0.1568627450980392,0.35294117647058826,0.11764705882352941,1.5686274509803921,1.0784313725490196,1.8823529411764706,0.8235294117647058,2.3529411764705883,2.4705882352941178,2.7450980392156863,4.96078431372549,1.8823529411764706,3.3137254901960786,3.019607843137255,0.5882352941176471,4.705882352941177,4.333333333333333,4.9411764705882355,4.470588235294118,4.313725490196078,4.117647058823529,1.9215686274509804,0,NA,0.13725490196078433,0.37254901960784315,0.45098039215686275,0.27450980392156865,0.23529411764705882,0.4117647058823529,4,51,21.338912133891213,4,53.30555555555556,50.705882352941174,0.2549019607843137
5,3.76,3.56,3.62,3.84,4.8,4.32,6.76,0.2,0.1,0.16,4.42,1.16,1.28,2.14,1,0,0.34,0.42,0.1,0.46,0.38,0.42,0.12,0.44,0.12,0.24,0.32,0.16,0.06,0.02,NA,0.4,0.48,0.36,1.28,0.7,0.72,0.42,1.76,2.34,3,1.98,1.92,1.3,3.08,0,5.12,2.72,3.96,2.66,4.8,5.04,NA,0,NA,2.3,2.5,2.5,2.375,2.857142857142857,2.8333333333333335,3,2.090909090909091,2.1538461538461537,2.7333333333333334,3.2222222222222223,3,3,2.6363636363636362,NA,2.5625,2.875,2.8181818181818183,2.5714285714285716,2.3333333333333335,3.0833333333333335,NA,NA,NA,0.48,0.6,0.36,1.28,0.7,1.44,0.84,1.12,1.26,1.8,3.74,1.68,1.56,2.8,0,3.52,2.38,4.68,1.9,3.2,4.2,3.92,1.98,NA,0.14,0.42,0.36,0.1,0.34,0.44,5,50,20.920502092050206,5,60.878787878787875,41.629629629629626,0.42
